,MedInd,LarInd,Agri,Residential,Full
0,238.19997525634867,144.3373625854723,123.62725218674318,156.0893359714358,662.253926
1,230.66966590576246,141.83862181054343,122.7049736014233,148.4200588822709,643.6333202000001
2,226.82359816438134,139.46141956209595,121.02810344629626,137.13226982722642,624.445391
3,228.53625806324314,139.47072814866175,120.23159012261088,119.65410216548423,607.8926785
4,242.8605678630153,143.53928301273896,120.67176853833175,88.31884478591405,595.3904642000001
5,277.2000731107459,151.8630913733353,124.50760901818491,35.66632819773395,589.2371017
6,330.7753112697879,162.3533415318333,130.62818508439872,0.0,589.3432735
7,365.3009165695209,165.52704264963498,144.08506807929342,0.0,583.7625588
8,392.9785793760095,167.45936471372212,155.61355039579203,0.0,566.1502762
9,403.33275473306566,169.1582695788298,163.22234872468115,0.0,580.1750777000001
10,412.4085036459319,171.23197677849134,167.5402893741333,0.0,595.7916468
11,415.8661886700907,171.77872451394882,165.9682236037017,0.0,604.4807228999999
12,416.1655670146162,171.0099757705831,166.07302798839711,0.0,602.5041158
13,419.3508447162789,170.89317935423904,164.1236664330619,0.0,597.3634106000001
14,411.092317770901,169.36920566308436,160.60223910729508,0.0,589.2561618
15,391.30367890798857,166.6375745903024,151.44233588491346,0.0,584.4730029
16,372.4158721808556,164.10265327136315,145.25887718788238,0.0,583.276323
17,364.54303085049696,164.0323997878479,135.6378346728408,0.0,595.4245668
18,340.12346750515036,160.00792898467648,136.49723062734347,25.25406598282973,661.8826931
19,323.21533379496947,156.48629748976552,134.29633854873916,115.79060076652593,729.7885706000001
20,309.78376482436784,153.35053325306205,129.64302386826154,145.36063695430846,738.1379589
21,288.77064156132434,148.85659354629996,128.09191897476904,164.86478381760674,730.5839379
22,263.9599983965526,143.14445843538323,125.13643532635756,177.6701435417067,709.9110357000001
23,243.06285052823512,139.52148629050149,124.65433515675853,161.14031812450492,668.3789901
24,228.68729578660742,136.83200730782872,124.44472638736765,142.91107681819614,632.8751063
25,221.43478796292308,134.47658363927096,121.57308624671252,133.5904454510934,611.0749033
26,217.33788971666937,132.25253398488675,121.44732098507802,127.00465491336593,598.0423996000001
27,216.81195478709762,131.35205995992996,119.83333346076817,122.59865809220412,590.5960062999999
28,222.38686504055806,132.88990871407893,121.88749940079886,113.75095544456411,590.9152286
29,237.97341867130237,136.05430124531486,123.5014869251087,106.29797275827411,603.8271796
30,260.3243046270001,139.1094496096845,126.9809924969973,109.70940406631803,636.1241507999999
31,263.6066780079685,135.03035672308,133.58366873281017,156.10032773614148,688.3210312000001
32,272.4558703357884,133.16214096270056,141.90513687762825,181.17578672388265,728.6989348999999
33,278.9343098272312,134.03012275153154,148.9270306522229,214.2564436690144,776.1479069000001
34,284.51191718289465,135.26904293332305,151.5890620234871,236.0767451602951,807.4467672999999
35,285.7633726050552,135.83616417899995,156.03276793457377,250.85902618137095,828.4913309
36,283.80257930352354,134.94148606643316,151.29560974633984,266.3761551837033,836.4158302999999
37,278.4892879637475,134.4231909917994,145.0073466646133,270.5654758798398,828.4853015
38,273.6965373491372,134.11987157672223,142.17762827783636,274.57009369630407,824.5641308999999
39,269.9907189223086,134.02116543238333,135.61687379590174,281.2656815494065,820.8944397000001
40,270.12557403245523,134.81819120286391,127.25348389720547,274.9099841674754,807.1072333
41,279.7488346925167,138.20897558472774,121.61500800059069,267.35847402216484,806.9312923
42,275.76791184098903,138.09130099983972,121.53116449283435,315.7931166663369,851.183494
43,269.4917550147662,136.60385912011293,119.20450715259555,379.0588987125252,904.3590199999999
44,261.3303237486938,134.72071449448651,115.85076684234143,399.72458621447817,911.6263912999999
45,247.157051672286,132.423952484664,114.09005317945797,398.37370306359196,892.0447604
46,229.8551410404769,128.7268629146737,112.03588723942731,400.34548450542223,870.9633757000001
47,216.55842718002202,126.50632593446517,108.1162032518178,369.49664873369505,820.6776051
48,206.68163891288484,122.83119057807338,108.1162032518178,337.728192757224,775.3572255
49,202.5982261776458,121.71398455647204,107.31968992813243,309.33443863774966,740.9663393
50,200.95029673165428,120.29644489284294,105.37032837279723,293.7961493027056,720.4132193
51,201.00154167351002,119.5331407944497,104.99303258789362,280.4743112441465,706.0020262999999
52,204.23806431702852,120.316291501936,107.55025957446243,274.8837431065731,706.9883585
53,212.18912161127207,122.29445396401681,110.4638214689957,271.1922997557153,716.1396967999999
54,225.2026397404192,124.24469066640033,115.38962754968146,272.62127884349906,737.4582368
55,226.5754647617116,120.82773686192706,116.64728016602679,309.6732527103345,773.7237345
56,232.30141273853627,119.37998820038644,120.67176853833175,324.9968349227455,797.3500044
57,236.60598785441584,120.1030721794672,125.42988760350478,350.66669366261215,832.8056412999999
58,241.479651535114,121.21465792238733,130.37665456112964,363.34205208136905,856.4130161
59,246.01348033824286,122.23930497945734,134.02384714853102,365.8790721337688,868.1557046
60,247.72344313490163,122.71088148755351,133.31117733260206,359.4898749449427,863.2353768999999
61,248.24398386006754,123.41201125303574,127.7775058206827,344.5805280662139,844.0140289999999
62,248.51099697815783,124.13685156920441,124.98970918778392,341.3751109648539,839.0126687000001
63,249.0881768495853,124.96443760501415,120.3992771381236,339.098173007277,833.5500646
64,253.09067651873644,126.94576147385311,115.6621189498896,332.07455735752086,827.7731143
65,265.8236960187786,131.6139298197331,116.14421911948865,307.26308354199966,820.8449285
66,263.71186499388284,132.01823861736335,117.46475436665119,345.38007102210247,858.5749289999999
67,256.71827898168,130.79073462664306,117.44379348971214,404.622668501965,909.5754756000001
68,245.02094672756382,129.84529837223653,116.03941473479323,422.98490936540634,913.8905692
