,MedInd,LarInd,Agri,Residential,Full
0,254.01634845057393,250.45695006250466,172.06252552200505,135.4967300649164,812.0325541
1,245.9860298836616,246.12108731515184,170.77891224242416,85.59940465876252,748.4854341
2,241.8845849422514,241.99612054173366,168.44506991591345,59.65269380010159,711.9784692000001
3,243.71096470227621,242.01227297904376,167.33649481082082,30.03995240785912,683.0996848999999
4,258.9864023487204,249.07210713539624,167.94912842152988,0.0,660.7783871
5,295.6060355843681,263.5157384832062,173.28779274342324,0.0,646.4128448
6,352.7386459042635,281.7186210426978,181.80631723518746,0.0,649.1320239
7,389.55673615320535,287.2256878765113,200.5354019054362,0.0,611.9479824
8,419.07218355064634,290.57869005169766,216.58056790019762,0.0,613.4727487
9,430.11387158015094,293.5266622422609,227.1703774567402,0.0,630.5045859
10,439.79224621398333,297.12499860677866,233.1800214475053,0.0,661.8838238
11,443.4795199972146,298.07372572651644,230.9920442664015,0.0,679.3539677
12,443.7987769316441,296.739778215083,231.13790941180844,0.0,717.6208343999999
13,447.1955556664305,296.5371108412875,228.4248177072397,0.0,731.7241799
14,438.3886661779327,293.89268256696545,223.52374882156712,0.0,729.7135483
15,417.28607043099987,289.1527041238939,210.77513511300214,0.0,705.2210832000001
16,397.14412167595424,284.7540602051096,202.16909153399376,0.0,723.2178456
17,388.74852715703685,284.6321550178642,188.77867118563827,0.0,755.2097888
18,362.7075155865409,277.6488163665082,189.9747653779751,0.0,796.7349467
19,344.67668926276804,271.5380140928616,186.91159732442972,122.86977471994078,925.9960754000001
20,330.3532700424156,266.0967760601606,180.43518486836234,167.87639792906145,944.7616288999999
21,307.9448846717801,258.29880599503684,178.27638071633996,172.5060332168431,917.0261046
22,281.4868257545068,248.38699998307678,174.16298361586473,213.63143774655168,917.6682471
23,259.2021164936051,242.10034947682854,173.49200394699292,128.05537798257342,802.8498479
24,243.87203126379032,237.43351414610436,173.20027365617906,83.4525513339263,737.9583704
25,236.13796012251964,233.34633798073227,169.20356867202938,69.64483502471853,708.3327017999999
26,231.76902964145236,229.48712451550924,169.0285304975411,64.5091134454974,694.7937981000001
27,231.20817286475184,227.92460477799057,166.78220725827447,66.58886999898311,692.5038549
28,237.15325469777753,230.59310932679367,169.64116410825017,66.07040156717858,703.4579297
29,253.77474860830293,236.08402372329718,171.8874873475168,65.57722462088293,727.3234842999999
30,277.6097235237768,241.3853755536339,176.73021017502654,82.81366034756286,778.5389696000001
31,281.110045048108,234.3072556191946,185.91971433566266,138.63455689703483,839.9715719000001
32,290.5468198396693,231.06549192736983,197.50140688097224,186.2771472519886,905.3908659
33,297.45542485318066,232.57163051578743,207.27437162323608,235.6312945077957,972.9327215
34,303.4033828748049,234.72142849286104,210.97934631657185,268.5930153157623,1017.697173
35,304.73793438449246,235.7055081169,217.16402848182528,289.01709201678227,1046.624563
36,302.6469452734088,234.15304555732908,210.57092390943245,329.25635325982967,1076.627268
37,296.9808537344341,233.25369003842582,201.8190151850171,380.1018860421228,1112.1554449999999
38,291.86986659496296,232.72736439249346,197.8806562590302,344.0850977535134,1066.562985
39,287.917983460673,232.5560876044136,188.74949815655697,303.0342187783565,1012.2577880000001
40,288.0617928905962,233.93910195371333,177.10945955308455,358.9995236026059,1058.109878
41,298.32403380991695,239.82285581611535,169.26191473019216,344.50932764377546,1051.918132
42,294.0787794385836,239.61866462747923,169.14522261386662,367.16139432007037,1070.0040609999999
43,287.3858885699571,237.03762705052475,165.90701638583297,441.9450929936852,1132.275625
44,278.682541871004,233.76995850641032,161.2393317328115,444.07893688977424,1117.770769
45,263.568170786074,229.78457317238818,158.78879728997515,424.08353275156264,1076.225074
46,245.11742092692526,223.36931269359602,155.9298404399995,434.28701193947904,1058.7035859999999
47,230.9378111364962,219.51619448773513,150.4744840017806,359.93958607398815,960.8680757000001
48,220.40520848891978,213.1390293799572,150.4744840017806,418.3959051293424,1002.414627
49,216.05065895084488,211.20043213978636,149.365908896688,362.5945118126807,939.2115117999999
50,214.2933077171831,208.7406902241411,146.6528171921193,332.07899206655657,901.7658072
51,214.34795530055393,207.41619036471923,146.12770266865434,327.4581816660725,895.3500300000001
52,217.79938161871118,208.77512843953798,149.6868122165833,337.5776880251675,913.8390103
53,226.27838560698396,212.20767374940192,153.7418632588957,287.56555498471846,879.7934776000001
54,240.15599559457436,215.59176174733582,160.597525093021,340.6908181650689,957.0361006
55,241.6199755911927,209.6625982026849,162.3479068379041,348.3943757682182,962.0248564
56,247.72612398573244,207.15043705652414,167.94912842152988,362.84154613621354,985.6672356
57,252.31652098888154,208.40514619624798,174.57140602300413,359.9484522918665,995.2415255000001
58,257.51379378630656,210.33399102143923,181.45624088621082,444.1752043060435,1093.4792300000001
59,262.34866682032515,212.11197817741424,186.53234794637171,470.43100605588893,1131.423999
60,264.1721703917514,212.93026674679936,185.54046495760468,473.51638390384437,1136.1592859999998
61,264.72727479125507,214.146880515509,177.8387852801192,488.9968464131167,1145.709787
62,265.012017462503,215.40463728491403,173.95877241229502,519.7099728402878,1174.0854
63,265.62752182257447,216.84068039066557,167.5698790434719,476.86986874328807,1126.90795
64,269.8957857026955,220.2787114339555,160.97677447107898,452.21510439226995,1103.366376
65,283.47427207604557,228.37900636344804,161.64775413995085,421.5359754205556,1095.037008
66,281.22221640344804,229.0805707160456,163.48565497207804,406.11868190842836,1079.907124
67,273.76425936763,226.95058233189934,163.4564819429967,490.44014635747374,1154.6114699999998
68,261.29022941609026,225.31004327454363,161.50188899454395,466.1144033148221,1114.216565
