,MedInd,LarInd,Agri,Residential,Full
0,1931.8220166470815,1344.5687936437523,59.94717741806352,1628.344848291103,4964.682836
1,1870.7505686758118,1321.291876224778,59.49996212365953,1443.5956779757516,4695.1380850000005
2,1839.5586328566744,1299.1471459748439,58.68684340656136,1209.1113457619203,4406.503968
3,1853.448449999137,1299.2338597320104,58.30061201593971,945.5223972529129,4156.505319
4,1969.619818256808,1337.134316048207,58.514055679177986,591.9998330158064,3957.2680229999996
5,2248.1161203951347,1414.6744121498057,60.37406474454008,111.00368371051991,3834.168281
6,2682.6158490847147,1512.395908150402,63.34194806194844,0.0,3794.953685
7,2962.621438440097,1541.9603910182489,69.86722576666135,0.0,3713.2527119999995
8,3187.0896329534116,1559.9608581190823,75.45741694671135,0.0,3696.8210520000002
9,3271.062873913908,1575.7869368562535,79.14694312554438,0.0,3849.1619509999996
10,3344.667967905069,1595.1044714008394,81.24072382207217,0.0,3980.723743
11,3372.710086923396,1600.197677552893,80.47842502479263,0.0,4114.929428
12,3375.138070707354,1593.036430097853,80.52924494461128,0.0,4194.522849
13,3400.9709432195564,1591.9484178617097,79.58399443598465,0.0,4194.382545
14,3333.9935887467664,1577.7519033158155,77.87644513007847,0.0,4190.696817
15,3173.506047999915,1552.305505859057,73.43478413792963,0.0,4208.289602000001
16,3020.3243323327224,1528.691550063172,70.43640886863008,0.0,4273.0256770000005
17,2956.47492093296,1528.0371066128598,65.77114022927925,0.0,4468.235936
18,2758.430189582001,1490.5473135617337,66.18786357179208,968.5001352844738,5283.665502000001
19,2621.303790107828,1457.7416995062163,65.1206452556007,1636.745306130355,5780.911440999999
20,2512.372625746464,1428.5306161015376,62.86424081565325,1834.8867033363445,5838.654186
21,2341.954412585947,1386.6675046937014,62.11210600233745,1850.111783718014,5640.845807
22,2140.737990706394,1333.4563438574532,60.67898426345189,1713.0941541727002,5247.967473
23,1971.2603478405629,1299.7066951248605,60.445212632286164,1374.28448540229,4705.696741
24,1854.6733787550086,1274.6529637382894,60.3435727926489,1034.4133897140532,4224.083305
25,1795.8549247454287,1252.7111109579519,58.951106989618246,807.808805307001,3915.3259479999997
26,1762.628732242435,1231.993067429698,58.890123085835896,730.2353172420308,3783.7472399999997
27,1758.363355324671,1223.6047385053232,58.107496320628876,688.6135958493769,3728.689186
28,1803.5763506529709,1237.9305056326543,59.10356674907416,655.2450879653006,3755.8555109999998
29,1929.9846235132754,1267.4082747433351,59.88619351428118,726.8039972291085,3984.083089
30,2111.252205654362,1295.8683842887804,61.57341485225988,1003.8207192045984,4472.514724000001
31,2137.8725323667686,1257.8697614550367,64.77506980083399,1308.1203523773602,4768.637715999999
32,2209.6402332241228,1240.4664740026135,68.81017143443371,1599.9426373388296,5118.8595159999995
33,2262.1809273598647,1248.5521228312189,72.21510606228237,1965.6519517466336,5548.600108
34,2307.4157964159485,1260.093233077472,73.50593202567573,2202.7807354809033,5843.795697
35,2317.56520610745,1265.376227830116,75.66069662598589,2389.9047254364477,6048.506856
36,2301.6630060089133,1257.0418904903918,73.36363625018355,2510.5109652505116,6142.579498
37,2258.571762275603,1252.213733935715,70.31444106106534,2601.734001727617,6182.833939
38,2219.70214800449,1249.3881743389923,68.94230322596216,2642.484797430555,6180.517422999999
39,2189.64764603009,1248.468681291304,65.76097624531555,2745.38830543329,6249.265609
40,2190.7413324192607,1255.8933422350942,61.70554664378834,2799.4084617018566,6307.748683
41,2268.786793150454,1287.4800553644059,58.971434957545696,2875.477353527594,6490.715636999999
42,2236.5011709421465,1286.3838625851333,58.930779021690796,3409.2404224510283,6991.056234999999
43,2185.6010063901604,1272.527658633401,57.80257680171707,3847.817397174722,7363.748639
44,2119.4111061175727,1254.9853019477866,56.17633936752072,3863.3818895671207,7293.954637000001
45,2004.464666615774,1233.5899094484596,55.322564714567605,3664.413008221198,6957.7901489999995
46,1864.1447028852226,1199.1498228757878,54.32649428612233,3300.859716952867,6418.480737
47,1756.307224913031,1178.4645015200488,52.42582928490533,2751.8643512820154,5739.061907
48,1676.205633770197,1144.2289285255997,52.42582928490533,2247.2280324192984,5120.0884240000005
49,1643.0888099061206,1133.8216415570123,52.039597894283695,1949.3537476425831,4778.303797
50,1629.723962230459,1120.6166088383407,51.094347385657066,1762.929467545544,4564.364386
51,1630.1395630583438,1113.5060807507002,50.911395674309965,1683.8415165166462,4478.398556
52,1656.3880363984317,1120.801489113054,52.15140171788471,1675.914487770629,4505.255415
53,1720.8717859039125,1139.2289805652156,53.5641954888428,1775.253954042029,4688.918916
54,1826.4125224588474,1157.3963307458785,55.9527317203187,2012.6563110749553,5052.417896
55,1837.5462499006012,1125.5658374313257,56.56257075814235,2287.0336109099303,5306.708269
56,1883.9841739847723,1112.0793940290198,58.514055679177986,2546.6436183070305,5601.2212420000005
57,1918.8946435270886,1118.8152532413567,60.821280038944074,2804.0202431926114,5902.551420000001
58,1958.4204696317033,1129.170184733919,63.21998025438371,2964.261230379994,6115.071865
59,1995.19020603561,1138.7152424567205,64.98851346407226,3083.286474043597,6282.180436
60,2009.0581494502885,1143.1081941169402,64.64293800930555,3091.407083423466,6308.216365
61,2013.279778912486,1149.6395397510544,61.95964624288153,3081.607973093578,6306.486938
62,2015.4452779630433,1156.3917600496493,60.60783637570579,3039.3659676116017,6271.810842
63,2020.1262557086923,1164.1011038943254,58.381923887649535,3051.220402509333,6293.829686
64,2052.586867739267,1182.5580453017508,56.08486351184715,3014.983518447136,6306.2132950000005
65,2155.8527366047274,1226.0441764663615,56.31863514301289,2928.292837785898,6366.5083859999995
