PROFILE,DATE,12:30am,1:00am,1:30am,2:00am,2:30am,3:00am,3:30am,4:00am,4:30am,5:00am,5:30am,6:00am,6:30am,7:00am,7:30am,8:00am,8:30am,9:00am,9:30am,10:00am,10:30am,11:00am,11:30am,12:00pm,12:30pm,1:00pm,1:30pm,2:00pm,2:30pm,3:00pm,3:30pm,4:00pm,4:30pm,5:00pm,5:30pm,6:00pm,6:30pm,7:00pm,7:30pm,8:00pm,8:30pm,9:00pm,9:30pm,10:00pm,10:30pm,11:00pm,11:30pm,12:00am
A10,1/11/2000,0.371136431,0.364658494,0.360354181,0.353922645,0.349700454,0.34673254,0.348573784,0.353194969,0.358054766,0.371680118,0.392375851,0.426125967,0.483954715,0.540927941,0.612006432,0.665779639,0.723619916,0.756957001,0.77854508,0.775099127,0.788904152,0.79167837,0.795995064,0.794979737,0.78429137,0.784921942,0.788338609,0.783744505,0.774835322,0.766878166,0.748762329,0.718176172,0.691185395,0.664767887,0.635174803,0.618927968,0.593747968,0.58409522,0.569733299,0.551662659,0.536711212,0.525152681,0.501701825,0.468912067,0.438924313,0.423913372,0.399626366,0.388479331
A10,1/12/2000,0.377340525,0.370382496,0.364823646,0.355805902,0.349081152,0.350225895,0.359798452,0.359374014,0.368005469,0.381696766,0.407212229,0.4343226,0.484847017,0.539756153,0.607397339,0.658125605,0.71788677,0.744883658,0.765431966,0.781347431,0.78525043,0.793453289,0.798318922,0.794414886,0.775688653,0.784360319,0.79663682,0.788163469,0.787748045,0.772425104,0.757004504,0.734750572,0.703355013,0.676171572,0.644974558,0.627249585,0.601502658,0.5914572,0.574995332,0.555224256,0.538353537,0.527655253,0.504861605,0.474119332,0.44134168,0.422223314,0.402277906,0.39144398
A10,1/13/2000,0.382567715,0.376061919,0.369394798,0.358072392,0.350790328,0.347912924,0.349408595,0.348490747,0.354509274,0.363137652,0.389679352,0.424868512,0.480276434,0.535471629,0.609646369,0.656019316,0.715960118,0.752694729,0.771166266,0.783853924,0.789693722,0.79701235,0.799380253,0.801547305,0.784904417,0.791580135,0.794865591,0.794872739,0.783110128,0.771983969,0.758449667,0.734444106,0.705486438,0.673749247,0.645260616,0.632890607,0.608399406,0.590169537,0.573202542,0.558502794,0.541613857,0.529577986,0.500642801,0.474815856,0.446347287,0.429906749,0.412688863,0.400327271
A10,1/14/2000,0.38878269,0.381118676,0.372136617,0.364308222,0.355281794,0.355160067,0.355342968,0.355547494,0.369988215,0.383297409,0.403570181,0.43134949,0.483559123,0.536515203,0.607395494,0.656235618,0.706413675,0.741724455,0.7617131,0.774987172,0.78170705,0.785683264,0.787455415,0.790040081,0.776513851,0.777274596,0.781095041,0.778340884,0.771345325,0.757313392,0.738142334,0.714851745,0.68986441,0.657020461,0.632933845,0.624301726,0.597564724,0.57579551,0.554798225,0.540753724,0.523697372,0.514524845,0.494508297,0.468174958,0.440807498,0.423068343,0.408571407,0.39652758
A10,1/15/2000,0.387240792,0.376269026,0.36569657,0.356804618,0.349374719,0.344589024,0.34448872,0.345977689,0.34601545,0.349348625,0.356719347,0.365266273,0.379683804,0.394506267,0.412366255,0.426530668,0.447421762,0.462975648,0.481919681,0.496517735,0.51098919,0.516224589,0.518222381,0.52259903,0.519867934,0.519361769,0.513663098,0.507739477,0.499366552,0.492117334,0.486890468,0.480116629,0.474127288,0.470137122,0.475221594,0.484442892,0.475182047,0.465546824,0.456023557,0.446207429,0.433337367,0.423171421,0.410200356,0.403396079,0.391698958,0.383044471,0.367546671,0.359999592
A10,1/16/2000,0.35162106,0.34316682,0.33563927,0.33016082,0.327865664,0.325221705,0.323815629,0.324166867,0.323050394,0.325669074,0.32846406,0.334542557,0.339690782,0.344135587,0.351314306,0.354468912,0.369503813,0.376482481,0.389281706,0.400956344,0.412911275,0.421394773,0.431342457,0.430880683,0.430894404,0.434551469,0.434184702,0.434562423,0.43567068,0.430878954,0.426661418,0.424785151,0.423886969,0.423507057,0.430820381,0.441764137,0.431509526,0.421405726,0.413764721,0.410953723,0.402398163,0.393254613,0.384513825,0.378105341,0.367191153,0.354800412,0.343334487,0.336714732
A10,1/17/2000,0.333951237,0.327427058,0.322735872,0.319682182,0.318667555,0.319529447,0.320066043,0.325477021,0.332212637,0.354667645,0.381547193,0.411574379,0.46316128,0.507287388,0.565361147,0.604618048,0.642552464,0.667783888,0.693743542,0.707156434,0.714541935,0.72170145,0.726702906,0.729016619,0.709506581,0.719765458,0.717848145,0.717044393,0.710730023,0.696331783,0.687086272,0.668804172,0.648749114,0.612523665,0.592686753,0.585701917,0.563766557,0.552081195,0.536560977,0.524385824,0.511964623,0.499119696,0.471705194,0.453980336,0.423347483,0.403942713,0.390377756,0.382351306
A10,1/18/2000,0.374005793,0.365527253,0.35549424,0.347116998,0.345217643,0.346492732,0.347857343,0.346560852,0.354436232,0.365001466,0.392757802,0.425095767,0.479809587,0.535791354,0.605494323,0.665821262,0.719234966,0.755201683,0.778372707,0.785708976,0.794051462,0.795615844,0.797420164,0.794391134,0.778401186,0.78425678,0.788535309,0.783315245,0.777891563,0.7622135,0.752492725,0.726178525,0.698060005,0.669602966,0.636554476,0.622239366,0.598932405,0.58274322,0.568706674,0.560274138,0.543476749,0.531307707,0.500816096,0.474353159,0.449420938,0.426046411,0.405310625,0.395762108
A10,1/19/2000,0.379456636,0.364523097,0.356209752,0.35113939,0.349352906,0.349033382,0.347779718,0.349142268,0.358532891,0.368418104,0.391591657,0.425000415,0.476174659,0.535358866,0.606809197,0.659211149,0.716164889,0.746065015,0.76454174,0.774703535,0.779409594,0.787849047,0.789505323,0.79362889,0.779334996,0.782432975,0.789025678,0.776061762,0.761932169,0.748134639,0.749505548,0.727026552,0.703574313,0.6712122,0.642097954,0.634586085,0.612350485,0.594269352,0.571830249,0.565685599,0.550300743,0.536419274,0.501069639,0.472483004,0.441583348,0.42532602,0.401725622,0.395818835
A10,1/20/2000,0.387339949,0.376317725,0.367422134,0.359453866,0.354166525,0.350641167,0.350669192,0.355044198,0.357380848,0.361893983,0.389629586,0.418853229,0.475962969,0.537186361,0.607352488,0.658457321,0.720007126,0.756121888,0.766247018,0.78062116,0.787361792,0.791050796,0.792175195,0.787274049,0.775330764,0.784678315,0.788091522,0.785738146,0.77467079,0.766722628,0.753775545,0.731848602,0.705493817,0.668981387,0.639547532,0.633023663,0.610977846,0.594925175,0.579995405,0.570447809,0.552440814,0.538239736,0.508612755,0.478685188,0.442360004,0.424230676,0.404781632,0.394218249
